Mean Happiness Rating,Region,City,All persons,Obese persons,"Admissions per 100,000 of population ",Gender
7.16,North East,County Durham,11745.00,4575.00,1743.00,Male
7.45,North East,Darlington,2115.00,745.00,1438.00,Male
7.22,North East,Gateshead,2565.00,925.00,947.00,Male
7.39,North East,Hartlepool,1950.00,725.00,1617.00,Male
7.30,North East,Middlesbrough,980.00,405.00,664.00,Male
7.24,North East,Newcastle upon Tyne,4095.00,1755.00,1492.00,Male
7.31,North East,North Tyneside,3960.00,1635.00,1632.00,Male
7.45,North East,Northumberland,6380.00,2590.00,1476.00,Male
7.35,North East,Redcar and Cleveland,875.00,340.00,504.00,Male
7.13,North East,South Tyneside,2070.00,855.00,1184.00,Male
7.48,North East,Stockton-on-Tees,3320.00,1185.00,1275.00,Male
7.27,North East,Sunderland,6585.00,2735.00,2066.00,Male
7.30,North West,Blackburn with Darwen,4070.00,1290.00,2017.00,Male
7.31,North West,Blackpool,3620.00,1285.00,1865.00,Male
7.32,North West,Bolton,2735.00,1185.00,910.00,Male
7.41,North West,Bury,2625.00,960.00,1096.00,Male
7.61,North West,Cheshire East,6875.00,2435.00,1224.00,Male
7.40,North West,Cheshire West and Chester,6990.00,2340.00,1363.00,Male
7.42,North West,Cumbria,8450.00,3305.00,1221.00,Male
7.13,North West,Halton,2740.00,1030.00,1679.00,Male
7.10,North West,Knowsley,2855.00,910.00,1361.00,Male
7.43,North West,Lancashire,25330.00,9900.00,1654.00,Male
6.96,North West,Liverpool,9500.00,2490.00,1239.00,Male
7.18,North West,Manchester,9660.00,2845.00,1634.00,Male
7.12,North West,Oldham,3335.00,1135.00,1114.00,Male
7.26,North West,Rochdale,3620.00,1260.00,1277.00,Male
7.22,North West,Salford,7050.00,2660.00,2544.00,Male
7.28,North West,Sefton,4540.00,1625.00,1149.00,Male
7.10,North West,St. Helens,2585.00,1025.00,1142.00,Male
7.49,North West,Stockport,7545.00,2955.00,2097.00,Male
7.26,North West,Tameside,3070.00,1290.00,1203.00,Male
7.45,North West,Trafford,4095.00,1525.00,1453.00,Male
7.44,North West,Warrington,3730.00,1495.00,1469.00,Male
7.35,North West,Wigan,9905.00,4080.00,2557.00,Male
7.21,North West,Wirral,13000.00,4700.00,2943.00,Male
7.26,Yorkshire and the Humber,Barnsley,4285.00,1705.00,1390.00,Male
7.34,Yorkshire and the Humber,Bradford,16090.00,6160.00,2794.00,Male
7.44,Yorkshire and the Humber,Calderdale,4215.00,1455.00,1426.00,Male
7.35,Yorkshire and the Humber,Doncaster,5785.00,1885.00,1248.00,Male
7.44,Yorkshire and the Humber,East Riding of Yorkshire,6320.00,2545.00,1309.00,Male
7.22,Yorkshire and the Humber,"Kingston upon Hull, City of",3290.00,975.00,870.00,Male
7.25,Yorkshire and the Humber,Kirklees,7750.00,2215.00,1090.00,Male
7.33,Yorkshire and the Humber,Leeds,7670.00,2395.00,746.00,Male
